"03 ,Attempts/threats to murder, assaults, harassments and related offences","Enniscorthy, Wexford Division",54
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Enniscrone, Sligo/Leitrim Division",13
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Enniskerry, Wicklow Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ennistymon, Clare Division",20
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Eyrecourt, Galway Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Farranfore, Kerry Division",9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ferbane, Laois/Offaly Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Fermoy, Cork North Division",45
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ferns, Wexford Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ferrybank, Waterford Division",20
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Fethard, Tipperary Division",9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Finglas, D.M.R. Western Division",110
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Fitzgibbon Street, D.M.R. North Central Division",136
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Foxford, Mayo Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Foynes, Limerick Division",11
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Frenchpark, Roscommon/Longford Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Freshford, Kilkenny/Carlow Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Gaillimh, Galway Division",277
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Garristown, D.M.R. Northern Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Glanmire, Cork City Division",25
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Glantaine, Cork North Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Glasson, Westmeath Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Gleann na Muaidhe, Mayo Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Glenamaddy, Galway Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Glenbeigh, Kerry Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Glengarriff, Cork West Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Glenmore, Kilkenny/Carlow Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Glin, Limerick Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Glynn, Wexford Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Gob an Choire, Mayo Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Golden, Tipperary Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Goresbridge, Kilkenny/Carlow Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Gorey, Wexford Division",53
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Gort, Galway Division",17
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Graiguenamanagh, Kilkenny/Carlow Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Granard, Roscommon/Longford Division",19
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Grange, Sligo/Leitrim Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Greystones, Wicklow Division",40
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Gurranabraher, Cork City Division",139
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Gurteen, Sligo/Leitrim Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Hackballscross, Louth Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Hacketstown, Kilkenny/Carlow Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Headford, Galway Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Henry Street, Limerick Division",200
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Holycross, Tipperary Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Hospital Co Limerick, Limerick Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Howth, D.M.R. Northern Division",22
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Indreabhain, Galway Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Innishannon, Cork West Division",3
